"id";"lng";"name";"text"
"261";"ua";"from";"Від"
"262";"ua";"to";"До"
"263";"ua";"img_path";"images/UA.png"
"264";"ua";"new";"Новий"
"265";"ua";"hot";"Топ"
"266";"ua";"not_in_stock";"Немає у наявності"
"267";"ua";"asc_price";"за зростання ціни"
"268";"ua";"desc_price";"за зниженням ціни"
"269";"ua";"byrating";"за рейтингом"
"270";"ua";"bynewest";"за новизною"
"271";"ua";"bydef";"за замовчуванням"
"272";"ua";"sortby";"Сортувати "
"273";"ua";"catalog";"Каталог"
"274";"ua";"discount";"Знижка"
"275";"ua";"offer";"Акцiя"
"276";"ua";"rm_from_list";"Видалити"
"277";"ua";"total_sum";"Сума усього"
"278";"ua";"remove";"Видалити"
"279";"ua";"to_order";"Замовити"
"280";"ua";"addto_cart";"У кошик"
"281";"ua";"remind_me";"Повідомити мене"
"282";"ua";"hist_graph";"Історія"
"283";"ua";"sales_hist";"Продажів"
"284";"ua";"price_hist";"Цін"
"285";"ua";"offer_end_at";"Кінець акції:"
"286";"ua";"offer_d";"День"
"287";"ua";"offer_h";"Г."
"288";"ua";"offer_m";"Х."
"289";"ua";"offer_s";"С."
"290";"ua";"register";"Зареєструватися"
"291";"ua";"login";"Вхід"
"292";"ua";"logout";"Вихід"
"293";"ua";"myprofile";"Мій профіль"
"294";"ua";"search";"Шукати"
"295";"ua";"comment1";"Коментар"
"296";"ua";"comment2_4";"Коментара"
"297";"ua";"comments";"Коментарі"
"298";"ua";"leave_comment";"Залишити коментар"
"299";"ua";"to_compare";"Порівняти"
"300";"ua";"compare";"Порівняти"
"301";"ua";"to_wishlist";"У бажання"
"302";"ua";"to_rate";"Оцінити"
"303";"ua";"comment";"Коментар"
"304";"ua";"to_comment";"Коментувати"
"305";"ua";"to_reply";"Відповісти"
"306";"ua";"descr";"Опис"
"307";"ua";"specs";"Характеристики"
"308";"ua";"soon";"Скоро у продажу"
"309";"ua";"RUB";"₽"
"310";"ua";"UAH";"₴"
"311";"ua";"USD";"$"
"312";"ua";"display_size";"Діагональ"
"313";"ua";"display_resolution";"Роздільна здатність"
"314";"ua";"display_type";"Матриця "
"315";"ua";"CPU_name";"ЦП"
"316";"ua";"CPU_cores";"Ядер"
"317";"ua";"CPU_freq";"Частота"
"318";"ua";"frontal_camera";"Фронтальна камера"
"319";"ua";"backend_camera";"Основна камера"
"320";"ua";"ram";"ОЗП"
"321";"ua";"mem";"Пам'ять"
"322";"ua";"personal_info";"Контактна інформація"
"323";"ua";"confirm";"Підтвердити"
"324";"ua";"edit";"Редагувати"
"325";"ua";"fname";"Ім'я"
"326";"ua";"lname";"Прізвище"
"327";"ua";"tel_number";"Мобільний телефон"
"328";"ua";"address";"Адреса доставки"
"329";"ua";"flt_reset";"Скинути фільтри"
"330";"ua";"cart_clear";"Очистити кошик"
"331";"ua";"confirm_order";"Підтвердити замовлення"
"332";"ua";"paycard_number";"Номер карти"
"333";"ua";"paycard_info";"Информація платіжної карти"
"334";"ua";"payment_type";"Тип платежу"
"335";"ua";"paycard";"Платіжна карта"
"336";"ua";"cash";"Готiвкою"
"337";"ua";"count";"Кількість"
"338";"ua";"currency_type";"Валюта"
"339";"ua";"email_me";"Надсилати повідомлення на email "
"340";"ua";"email_me_offers";"Акції"
"341";"ua";"email_me_wishlist";"Зміни у списку бажаннь"
"342";"ua";"showed_items";"Відображено товарів"
"343";"ua";"share";"Поділитися"
"344";"ua";"laptops";"Ноутбуки"
"345";"ua";"smartphones";"Смартфони"
"346";"ua";"tablets";"Планшети"
"347";"ua";"order_done";"Дякуємо за покупку"
